has_hazard,has_exposure,has_vulnerability,has_loss,hevl_block_count,declared_component_count,exposure_items,exposure_categories,exposure_has_metrics,vuln_has_functions,vuln_socio_count,filename,hazard_event_sets,hazard_analysis_type,hazard_hazards_count,hazard_events_count,hazard_has_return_periods,loss_items,loss_hazard_types
False,True,True,False,2,2,3.0,agriculture|economic_indicator|population,True,False,1.0,rdls_ev-abw_fao_arubaprices.json,,,,,,,
False,True,True,False,2,2,5.0,infrastructure|population|natural_environment|economic_indicator|agriculture,True,False,3.0,rdls_ev-abw_unesco_arubaeducationindicators.json,,,,,,,
False,True,True,False,2,2,5.0,buildings|infrastructure|population|economic_indicator|development_index,True,False,1.0,rdls_ev-abw_who_arubaindicators.json,,,,,,,
False,True,True,False,2,2,5.0,buildings|infrastructure|population|economic_indicator|development_index,True,False,1.0,rdls_ev-abw_who_arubaindicators_f0d2ce4f.json,,,,,,,
False,True,True,False,2,2,4.0,infrastructure|population|agriculture|natural_environment,True,False,1.0,rdls_ev-abw_worldbank_arubaclimatechange.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,1.0,rdls_ev-abw_worldbank_arubaeducation.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|population,True,False,1.0,rdls_ev-abw_worldbank_arubagender.json,,,,,,,
False,True,True,False,2,2,2.0,population|development_index,True,False,2.0,rdls_ev-acaps_informseverityindex.json,,,,,,,
False,True,True,False,2,2,2.0,population|agriculture,True,False,1.0,rdls_ev-afg_drew_rainfall20132016populatio.json,,,,,,,
False,True,True,False,2,2,3.0,agriculture|economic_indicator|population,True,False,1.0,rdls_ev-afg_fao_prices.json,,,,,,,
False,True,True,False,2,2,2.0,agriculture|buildings,True,False,1.0,rdls_ev-afg_fao_securitynutritionindicato.json,,,,,,,
False,True,True,False,2,2,4.0,population|agriculture|development_index|infrastructure,True,False,3.0,rdls_ev-afg_hdxapi_hdxhapi.json,,,,,,,
False,True,True,False,2,2,2.0,population|development_index,True,False,1.0,rdls_ev-afg_ochaafg_2015humanitarianresponsep.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|development_index,True,False,2.0,rdls_ev-afg_ophi_multidimensionalindex.json,,,,,,,
False,True,True,False,2,2,2.0,population|agriculture,True,False,2.0,rdls_ev-afg_reach_annualwholeassessmentwoaa.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_232b42c3.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_4c3cf3ee.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_51b85751.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_551e3c01.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_78784983.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|agriculture|population,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_808a2bdb.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_8bd621f9.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_93d72bbf.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_a39143e1.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_bf6fb149.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_cfdee068.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_dad1a618.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_humanitariansituationmoni_def7a4f8.json,,,,,,,
False,True,True,False,2,2,1.0,population,True,False,1.0,rdls_ev-afg_reach_midyearwholeassessment202.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_reachafghanistanhumanitar.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_reachafghanistanhumanitar_4043e998.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_reach_reachafghanistanhumanitar_8ccd97ee.json,,,,,,,
False,True,True,False,2,2,2.0,population|agriculture,True,False,2.0,rdls_ev-afg_reach_wholeassesmentdataset2024.json,,,,,,,
False,True,True,False,2,2,2.0,population|agriculture,True,False,2.0,rdls_ev-afg_reach_wholeassessment2024analys.json,,,,,,,
False,True,True,False,2,2,3.0,population|economic_indicator|development_index,True,False,3.0,rdls_ev-afg_undp_indicators.json,,,,,,,
False,True,True,False,2,2,5.0,infrastructure|population|natural_environment|economic_indicator|agriculture,True,False,3.0,rdls_ev-afg_unesco_educationindicators.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_communitybasedprotectionm.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_communitybasedprotectionm_5b711ab7.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_communitybasedprotectionm_80562540.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,2.0,rdls_ev-afg_unhcr_communitybasedprotectionm_b8bd0eeb.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_communitybasedprotectionm_e7153ba6.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_unhcr_householdmultisectoralnee.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,1.0,rdls_ev-afg_unhcr_postreturnmonitoringsurve.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,1.0,rdls_ev-afg_unhcr_postreturnmonitoringsurve_dc75a1fd.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_socioeconomicassessmentpa.json,,,,,,,
False,True,True,False,2,2,1.0,agriculture,True,False,2.0,rdls_ev-afg_unhcr_socioeconomicassessmentpa_e04e2820.json,,,,,,,
False,True,True,False,2,2,5.0,infrastructure|population|buildings|economic_indicator|development_index,True,False,2.0,rdls_ev-afg_who_indicators.json,,,,,,,
False,True,True,False,2,2,5.0,population|buildings|infrastructure|economic_indicator|development_index,True,False,2.0,rdls_ev-afg_who_indicators_ed7c9642.json,,,,,,,
False,True,True,False,2,2,4.0,infrastructure|population|agriculture|natural_environment,True,False,2.0,rdls_ev-afg_worldbank_climatechange.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,1.0,rdls_ev-afg_worldbank_education.json,,,,,,,
False,True,True,False,2,2,3.0,infrastructure|population|agriculture,True,False,2.0,rdls_ev-afg_worldbank_gender.json,,,,,,,
False,True,True,False,2,2,2.0,population|development_index,True,False,2.0,rdls_ev-afg_worldbank_poverty.json,,,,,,,
False,True,True,False,2,2,2.0,infrastructure|agriculture,True,False,1.0,rdls_ev-afg_worldbank_realtimeprices.json,,,,,,,
False,True,True,False,2,2,4.0,population|agriculture|economic_indicator|development_index,True,False,1.0,rdls_ev-afg_worldbank_socialprotectionlabor.json,,,,,,,
